Campaign ID,Campaign Name,Emails Sent,Open Rate (%),Click-Through Rate (%),Conversion Rate (%),Unsubscribe Rate (%),Revenue Generated ($)
EM-0137,Flash Sale,386214.00,13.47,3.45,9.20,0.46,15892.41
EM-0138,Holiday Discounts,233673.00,44.70,4.03,9.70,3.29,15749.46
EM-0139,Exclusive Offers,180730.00,9.89,7.40,0.55,3.33,84736.93
EM-0140,Customer Appreciation,256304.00,30.74,5.68,9.87,2.69,45551.16
EM-0141,Exclusive Offers,8895.00,25.88,1.08,8.07,2.83,52105.06
EM-0142,Customer Appreciation,111737.00,39.13,9.12,8.96,0.18,70418.63
EM-0143,Flash Sale,276367.00,16.99,7.85,1.58,3.60,15396.96
EM-0144,New Product Launch,465001.00,24.62,13.74,6.57,3.60,72829.71
EM-0145,Newsletter,202584.00,16.81,6.00,1.55,1.81,7834.09
EM-0146,New Product Launch,339271.00,35.09,12.63,8.44,4.52,69051.64
EM-0147,Holiday Discounts,371168.00,27.25,1.94,5.33,1.08,55867.51
EM-0148,Holiday Discounts,356291.00,41.84,9.86,2.47,2.95,33658.90
EM-0149,Holiday Discounts,114038.00,18.61,14.28,4.21,0.75,9198.96
EM-0150,Customer Appreciation,224135.00,26.41,3.16,0.53,1.90,11207.21
EM-0151,Customer Appreciation,183777.00,9.10,2.33,2.82,0.53,62907.38
EM-0152,Holiday Discounts,128433.00,45.32,17.93,4.40,2.83,74058.01
EM-0153,Exclusive Offers,140757.00,41.74,15.82,1.01,0.47,55675.97
EM-0154,Newsletter,31941.00,15.90,2.82,8.79,3.75,22815.10
EM-0155,Customer Appreciation,148056.00,33.92,13.96,1.57,0.39,91986.21
EM-0156,Exclusive Offers,442115.00,22.01,18.49,5.86,4.55,26450.13
EM-0157,New Product Launch,355798.00,35.92,18.40,4.20,2.85,87138.48
EM-0158,Exclusive Offers,483013.00,11.04,6.18,1.89,1.52,92485.69
EM-0159,Newsletter,108471.00,19.36,16.53,8.01,2.32,68207.08
EM-0160,Flash Sale,212228.00,47.68,12.08,6.63,0.39,52436.59
EM-0161,New Product Launch,87368.00,15.51,2.59,1.40,3.03,19846.38
EM-0162,Newsletter,172992.00,21.86,9.22,6.45,0.74,25942.00
EM-0163,Exclusive Offers,200832.00,34.73,7.68,7.51,1.42,21454.77
EM-0164,New Product Launch,17777.00,25.95,13.14,4.92,3.43,48623.30
EM-0165,New Product Launch,82571.00,11.42,10.42,5.12,4.26,75709.84
EM-0166,Newsletter,393298.00,8.94,7.17,1.06,1.94,97442.17
EM-0167,Exclusive Offers,64125.00,5.70,3.41,3.14,0.34,63468.22
EM-0168,Holiday Discounts,180967.00,43.05,15.69,4.16,1.42,61533.91
EM-0169,Flash Sale,334383.00,42.92,3.34,2.82,0.60,54696.09
EM-0170,Customer Appreciation,455899.00,45.34,2.49,2.36,4.59,71163.19
EM-0171,Customer Appreciation,194002.00,5.06,18.83,4.83,0.45,76756.04
EM-0172,New Product Launch,406758.00,39.08,11.02,1.63,0.17,48380.14
EM-0173,New Product Launch,269525.00,29.39,13.50,0.75,0.88,72537.73
EM-0174,Exclusive Offers,236936.00,47.10,19.69,0.55,2.02,64530.47
EM-0175,Holiday Discounts,302605.00,36.95,8.30,8.46,1.91,46648.27
EM-0176,Flash Sale,214048.00,14.54,6.20,7.37,1.07,59527.83
EM-0177,Flash Sale,156583.00,15.36,1.13,6.92,0.87,54153.13
EM-0178,Flash Sale,480214.00,39.02,3.11,2.73,0.30,22076.00
EM-0179,Flash Sale,140804.00,23.20,2.76,1.99,3.56,81046.17
EM-0180,Flash Sale,41996.00,39.11,18.20,9.37,0.10,81888.68
EM-0181,Holiday Discounts,191954.00,11.47,2.67,9.21,1.43,75397.91
EM-0182,Flash Sale,240807.00,24.52,17.80,5.50,3.01,15130.32
EM-0183,Newsletter,363478.00,27.74,15.82,4.65,4.24,2721.69
EM-0184,Holiday Discounts,114084.00,19.49,2.80,4.71,2.96,77045.81
EM-0185,Customer Appreciation,374109.00,26.21,1.26,9.55,3.88,98477.29
EM-0186,Holiday Discounts,110343.00,34.51,2.30,9.26,3.08,57913.49
EM-0187,Flash Sale,58203.00,36.42,9.28,1.54,3.09,27492.37
EM-0188,New Product Launch,146868.00,12.06,7.19,9.94,4.13,88778.77
EM-0189,Newsletter,51966.00,43.47,18.52,6.22,2.71,85936.82
EM-0190,Customer Appreciation,7584.00,24.62,3.51,8.51,1.55,21964.59
EM-0191,Newsletter,66474.00,32.42,4.09,9.73,0.38,68337.43
EM-0192,New Product Launch,41060.00,22.47,5.72,5.65,0.33,19456.55
EM-0193,New Product Launch,487996.00,17.86,19.99,2.01,1.24,8061.92
EM-0194,Exclusive Offers,41173.00,19.33,14.54,6.31,0.21,65086.00
EM-0195,New Product Launch,169956.00,23.85,9.85,7.80,3.59,5547.69
EM-0196,Exclusive Offers,233722.00,14.55,9.74,2.00,0.12,12815.99
EM-0197,Flash Sale,31229.00,24.05,2.64,1.89,2.34,36918.31
EM-0198,Exclusive Offers,72251.00,22.56,5.41,0.99,4.68,41624.82
EM-0199,New Product Launch,421817.00,32.15,10.22,0.77,4.45,60537.17
EM-0200,Holiday Discounts,161895.00,14.31,15.30,1.97,3.61,45888.06
EM-0201,Newsletter,285771.00,43.63,5.02,8.26,3.37,26677.37
EM-0202,Flash Sale,356386.00,26.46,12.53,8.36,1.39,80467.54
EM-0203,New Product Launch,93661.00,34.93,11.49,5.92,4.94,71424.98
EM-0204,Flash Sale,447046.00,9.84,17.65,7.31,3.45,63934.33
EM-0205,Customer Appreciation,457005.00,9.73,16.97,7.04,4.95,56761.17
EM-0206,Exclusive Offers,260519.00,31.13,5.20,4.42,1.78,16440.78
EM-0207,Customer Appreciation,188096.00,42.99,13.78,7.35,3.78,43224.30
EM-0208,Holiday Discounts,476387.00,10.12,13.65,0.76,1.96,29551.38
EM-0209,Newsletter,175337.00,6.67,14.96,3.82,4.93,894.35
EM-0210,Holiday Discounts,280236.00,41.59,6.61,6.78,4.12,83250.01
EM-0211,New Product Launch,201125.00,23.49,6.97,3.50,0.65,15607.02
EM-0212,Holiday Discounts,266969.00,36.72,17.33,9.00,4.59,23470.68
EM-0213,Exclusive Offers,439664.00,12.20,2.84,9.87,4.43,81145.99
EM-0214,Newsletter,280545.00,11.18,2.49,2.94,3.48,26089.36
EM-0215,Holiday Discounts,197655.00,8.86,2.95,1.01,3.16,85955.69
EM-0216,Customer Appreciation,323385.00,22.42,19.10,9.24,2.42,82384.06
EM-0217,Exclusive Offers,443619.00,27.49,10.70,6.27,0.77,531.05
EM-0218,New Product Launch,73556.00,22.66,15.20,7.99,4.68,70075.49
EM-0219,Flash Sale,82258.00,45.04,7.70,5.67,2.02,73074.93
EM-0220,Holiday Discounts,220848.00,26.75,18.13,0.89,2.90,23117.81
EM-0221,Exclusive Offers,441935.00,28.97,16.44,1.76,2.54,28096.30
EM-0222,Customer Appreciation,248875.00,9.34,19.17,9.86,1.56,92322.96
EM-0223,Customer Appreciation,178525.00,14.94,6.46,7.12,4.96,34469.27
EM-0224,Customer Appreciation,318988.00,46.28,1.22,7.09,2.34,57593.78
EM-0225,New Product Launch,323904.00,32.65,16.49,6.12,4.52,43415.38
EM-0226,Customer Appreciation,439443.00,22.23,9.99,7.41,1.48,50008.82
EM-0227,Customer Appreciation,442844.00,25.95,13.97,9.08,0.36,9190.63
EM-0228,New Product Launch,104386.00,22.64,9.35,5.54,0.64,10627.54
EM-0229,Exclusive Offers,317685.00,14.93,8.90,7.08,2.83,29402.79
EM-0230,New Product Launch,479420.00,9.57,4.57,8.00,0.56,26768.13
EM-0231,Holiday Discounts,299360.00,10.05,3.02,1.73,2.46,95924.70
EM-0232,New Product Launch,280741.00,27.71,19.04,0.81,1.30,40128.46
EM-0233,Newsletter,46413.00,9.41,2.39,6.96,3.33,96098.06
EM-0234,Customer Appreciation,31912.00,23.87,13.44,0.60,3.32,43449.04
EM-0235,Holiday Discounts,94593.00,9.42,5.64,6.41,3.28,50640.31
EM-0236,Newsletter,188795.00,49.59,17.16,9.53,2.53,6538.92
EM-0237,New Product Launch,433888.00,22.37,4.78,1.59,3.16,17255.62
EM-0238,Exclusive Offers,113457.00,38.71,16.51,9.11,0.63,21704.29
EM-0239,New Product Launch,77676.00,19.24,3.37,1.75,3.45,16419.43
EM-0240,Newsletter,118023.00,30.97,18.98,6.54,3.73,8275.61
EM-0241,Newsletter,49035.00,39.77,14.81,6.77,3.85,89191.22
EM-0242,Flash Sale,234681.00,49.95,4.80,3.22,1.77,10274.45
EM-0243,Holiday Discounts,145076.00,5.29,12.37,2.02,1.25,92371.72
EM-0244,Customer Appreciation,61468.00,9.35,14.89,4.11,0.63,35128.97
EM-0245,Holiday Discounts,122646.00,6.05,3.48,4.53,3.72,11585.62
EM-0246,Flash Sale,35590.00,9.86,14.19,2.75,2.57,26796.04
EM-0247,Flash Sale,337548.00,9.78,6.63,6.13,2.49,97545.90
EM-0248,Customer Appreciation,304009.00,40.00,18.70,1.88,0.86,28854.98
EM-0249,Customer Appreciation,39162.00,30.62,9.96,3.75,0.95,76480.75
EM-0250,Flash Sale,298300.00,38.88,17.60,9.30,1.22,96530.31
EM-0251,Flash Sale,459650.00,36.85,19.46,9.18,0.23,9272.39
EM-0252,Customer Appreciation,3000.00,10.92,2.74,7.34,4.71,87657.57
EM-0253,Holiday Discounts,318316.00,5.61,11.52,7.53,4.85,81256.77
EM-0254,New Product Launch,255676.00,25.70,17.16,1.11,4.18,93228.56
EM-0255,New Product Launch,145271.00,36.60,13.55,3.21,4.52,72129.06
EM-0256,Newsletter,365992.00,15.50,16.28,5.51,3.92,68938.27
EM-0257,New Product Launch,101783.00,33.57,10.94,5.22,1.97,42048.74
EM-0258,Flash Sale,61560.00,20.92,7.31,9.61,4.49,74019.02
EM-0259,Exclusive Offers,43436.00,45.97,19.73,3.71,4.17,20126.63
EM-0260,Exclusive Offers,407332.00,43.25,8.41,3.85,0.51,67213.22
EM-0261,Newsletter,194840.00,31.45,11.86,6.01,3.57,60490.64
EM-0262,Holiday Discounts,212008.00,11.06,19.26,9.68,3.52,30688.37
EM-0263,Customer Appreciation,454920.00,7.22,1.67,2.67,1.89,7160.31
EM-0264,Newsletter,196676.00,21.40,11.81,0.64,4.84,40232.19
EM-0265,New Product Launch,72321.00,44.59,12.20,4.57,4.32,3537.60
EM-0266,Flash Sale,109025.00,16.88,11.75,2.70,0.12,9269.40
EM-0267,Holiday Discounts,116034.00,7.25,17.33,0.92,3.10,75379.62
EM-0268,Customer Appreciation,291675.00,44.54,17.32,8.95,2.52,55410.23
EM-0269,Holiday Discounts,23572.00,16.71,13.22,3.63,3.67,75489.49
EM-0270,Exclusive Offers,190377.00,27.30,19.74,4.46,2.12,74179.44
EM-0271,Customer Appreciation,267077.00,38.07,11.60,7.11,2.74,11431.97
EM-0272,Holiday Discounts,408722.00,42.87,7.86,5.77,3.64,79621.34
EM-0273,Exclusive Offers,320980.00,7.11,10.89,1.23,1.98,61644.16
EM-0274,New Product Launch,206602.00,12.01,8.11,6.17,4.56,74208.97
EM-0275,New Product Launch,213315.00,46.10,19.63,4.17,3.28,54779.60
EM-0276,Holiday Discounts,30091.00,7.51,10.98,4.31,2.61,47566.02
EM-0277,Flash Sale,111285.00,17.59,12.02,3.83,0.57,23557.27
EM-0278,Holiday Discounts,136060.00,46.55,6.31,3.17,3.06,84064.47
EM-0279,New Product Launch,6788.00,32.52,9.02,0.63,1.24,28855.88
EM-0280,New Product Launch,479026.00,38.11,19.47,3.29,2.70,1984.81
EM-0281,Customer Appreciation,333801.00,49.03,3.42,1.02,3.53,80821.23
EM-0282,Holiday Discounts,437257.00,34.72,13.34,7.67,0.25,46126.22
EM-0283,Newsletter,381257.00,38.94,8.63,2.19,4.34,29459.27
EM-0284,New Product Launch,163156.00,18.78,4.29,4.24,4.49,74303.68
EM-0285,Customer Appreciation,54568.00,49.19,9.21,4.61,0.33,51392.86
EM-0286,New Product Launch,159633.00,16.84,11.83,2.90,2.14,35517.21
EM-0287,Exclusive Offers,229395.00,14.08,13.88,5.68,2.55,97125.07
EM-0288,Holiday Discounts,479366.00,37.01,7.97,1.94,3.41,24126.65
EM-0289,New Product Launch,355941.00,44.28,10.69,1.78,3.62,32246.09
EM-0290,Holiday Discounts,92782.00,43.92,16.13,7.30,4.26,25400.77
EM-0291,Customer Appreciation,495187.00,32.42,10.93,1.71,1.05,93809.82
EM-0292,New Product Launch,192395.00,42.00,9.80,7.83,2.46,59693.48
EM-0293,Customer Appreciation,12059.00,49.41,19.64,9.08,0.53,93351.79
EM-0294,Flash Sale,387545.00,17.85,5.20,4.09,2.38,69462.86
EM-0295,Customer Appreciation,484727.00,9.27,11.59,8.98,3.19,65122.56
EM-0296,Exclusive Offers,36249.00,13.31,4.14,1.41,1.48,87067.26
EM-0297,Flash Sale,101435.00,14.50,12.89,7.69,2.77,70039.62
EM-0298,Exclusive Offers,204990.00,43.41,2.52,6.76,2.90,55380.89
EM-0299,Exclusive Offers,10846.00,21.75,2.43,5.83,2.60,82070.85
EM-0300,Customer Appreciation,227477.00,37.50,9.34,1.24,3.65,63544.72
EM-0301,Flash Sale,264543.00,45.45,2.59,8.69,4.97,44234.47
EM-0302,Newsletter,476216.00,45.55,6.99,5.11,2.86,61753.67
EM-0303,Newsletter,132764.00,30.15,12.49,4.63,4.11,70697.41
EM-0304,Exclusive Offers,485216.00,5.72,3.57,8.81,2.85,95953.88
EM-0305,Holiday Discounts,27453.00,30.76,6.76,2.74,3.20,59886.62
EM-0306,Newsletter,380187.00,39.87,12.06,7.27,4.51,63974.58
EM-0307,Customer Appreciation,298945.00,15.26,12.96,9.57,0.99,44584.68
EM-0308,Exclusive Offers,270848.00,7.73,6.02,5.87,1.16,43115.58
EM-0309,Customer Appreciation,34525.00,44.30,15.68,3.67,4.63,9557.11
EM-0310,Newsletter,304435.00,7.91,5.71,5.40,3.10,74255.99
EM-0311,New Product Launch,246573.00,14.00,10.28,3.37,2.69,99909.80
EM-0312,Newsletter,372604.00,16.21,18.86,5.63,0.80,95050.47
EM-0313,Exclusive Offers,453971.00,21.60,15.28,8.48,1.17,66298.96
EM-0314,Holiday Discounts,247891.00,29.58,12.90,5.02,2.94,23454.35
EM-0315,Newsletter,49035.00,33.30,12.99,6.92,4.49,4507.16
EM-0316,Newsletter,411566.00,25.07,11.30,8.52,3.97,65663.14
EM-0317,Customer Appreciation,3374.00,13.95,6.14,9.30,3.28,29163.72
EM-0318,Exclusive Offers,221203.00,12.96,15.17,4.26,0.73,39249.12
EM-0319,Holiday Discounts,24960.00,49.37,5.42,4.27,2.44,68551.56
EM-0320,Newsletter,117467.00,18.76,9.09,0.91,2.28,91222.77
EM-0321,Flash Sale,127611.00,16.38,13.94,5.57,3.11,17649.08
EM-0322,Flash Sale,125415.00,10.21,1.89,0.60,0.82,72530.32
EM-0323,Holiday Discounts,439835.00,48.21,19.06,3.98,0.36,48098.39
EM-0324,Exclusive Offers,95512.00,47.55,17.54,5.59,0.94,40053.89
EM-0325,Newsletter,252625.00,18.67,10.89,8.30,2.80,37084.22
EM-0326,Newsletter,34546.00,33.44,2.45,3.18,0.32,7581.43
EM-0327,Exclusive Offers,282483.00,42.26,17.15,5.68,1.83,54045.44
EM-0328,Customer Appreciation,362663.00,38.82,15.86,9.11,1.30,33546.83
EM-0329,Newsletter,160796.00,19.10,18.54,2.17,4.04,95826.96
EM-0330,Customer Appreciation,369567.00,45.87,3.28,4.58,3.16,76718.71
EM-0331,New Product Launch,44410.00,43.21,18.13,4.88,0.43,3683.55
EM-0332,Flash Sale,217460.00,25.40,8.50,2.98,4.18,87556.79
EM-0333,Newsletter,237982.00,8.80,5.90,5.90,1.50,18570.03
EM-0334,Flash Sale,391565.00,12.91,11.72,6.61,1.92,18017.63
EM-0335,Holiday Discounts,75814.00,13.01,12.71,2.37,2.29,88252.28
EM-0336,Holiday Discounts,331220.00,25.02,7.26,2.14,2.05,18297.75
EM-0337,Customer Appreciation,255991.00,36.18,16.48,8.71,1.78,63655.48
EM-0338,Holiday Discounts,309582.00,34.10,11.16,9.81,4.24,73811.42
EM-0339,Exclusive Offers,350579.00,43.21,12.51,0.73,4.02,34346.13
EM-0340,Holiday Discounts,318544.00,5.57,18.99,7.06,4.87,59413.71
EM-0341,New Product Launch,127805.00,12.74,4.31,4.81,4.56,59431.19
EM-0342,Newsletter,144559.00,42.45,4.75,2.34,0.17,73137.73
EM-0343,Exclusive Offers,126141.00,47.33,13.19,6.13,1.88,56791.04
EM-0344,Holiday Discounts,157711.00,11.62,10.76,1.41,2.45,5747.01
EM-0345,Customer Appreciation,253279.00,48.34,10.93,2.29,3.40,36597.64
EM-0346,New Product Launch,93330.00,23.76,5.73,4.68,3.23,21048.70
EM-0347,Holiday Discounts,131497.00,37.89,17.18,6.89,2.50,51188.26
